	ace
G1-11	10.0
G1-12	8.0
G1-13	13.0
G1-130	9.0
G1-131	10.0
G1-132	9.0
G1-135	13.0
G1-136	17.0
G1-137	2.0
G1-138	11.0
G1-139	10.0
G1-14	13.0
G1-140	10.0
G1-141	9.0
G1-142	3.0
G1-143	7.0
G1-144	5.0
G1-15	12.0
G1-16	1.0
G1-175	10.0
G1-176	5.0
G1-177	20.0
G1-178	8.0
G1-180	20.0
G1-181	3.0
G1-182	23.0
G1-187	16.0
G1-188	11.0
G1-189	13.0
G1-190	38.0
G1-192	15.0
G1-193	14.0
G2-1100	5.0
G2-1101	5.0
G2-1102	8.0
G2-1103	11.0
G2-1104	8.0
G2-1105	9.0
G2-1106	7.0
G2-1107	6.0
G2-1108	7.0
G2-1109	5.0
G2-1110	5.0
G2-1111	4.0
G2-1113	8.0
G2-194	10.0
G2-195	5.0
G2-196	4.0
G2-197	8.0
G2-198	6.0
G2-199	7.0
G2-21	8.0
G2-210	9.0
G2-211	12.0
G2-212	11.0
G2-213	9.0
G2-214	5.0
G2-215	5.0
G2-216	7.0
G2-217	6.0
G2-218	13.0
G2-219	7.0
G2-22	10.0
G2-220	10.0
G2-221	12.0
G2-222	7.0
G2-223	8.0
G2-224	4.0
G2-23	8.0
G2-24	6.0
G2-25	8.0
G2-26	7.0
G2-27	9.0
G2-28	7.0
G2-29	7.0
G2-313	10.0
G2-314	13.0
G2-315	6.0
G2-316	5.0
G2-317	7.0
G2-318	6.0
G2-319	2.0
G2-320	4.0
G2-321	3.0
G2-322	3.0
G2-323	9.0
G2-324	6.0
G2-325	9.0
G2-326	7.0
G2-327	10.0
G2-328	9.0
G2-329	11.0
G2-330	7.0
G2-413	11.0
G2-414	12.0
G2-415	13.0
G2-416	11.0
G3-417	6.0
G3-418	19.0
G3-419	11.0
G3-420	11.0
G3-421	16.0
G3-422	6.0
G3-423	12.0
G3-424	12.0
G3-425	13.0
G3-426	11.0
G3-427	20.0
G3-428	10.0
G3-429	10.0
G3-430	16.0
